FIXED_POINT=5193b08
unit_id	files	action	reason	evidence	loc_delta	cognitive_check	status
w1-u4-leave-_comparison_option	backend/app/services/agent/candidate_store.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_admit_watched_record	backend/app/services/agent/candidate_store.py	leave	leave: 2 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_attempt_watched_presentation	backend/app/services/agent/candidate_store.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_waypoint_label	backend/app/services/agent/discovery_store.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_normalized_place	backend/app/services/agent/discovery_store.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_bounded_scope_values	backend/app/services/agent/discovery_store.py	leave	leave: 3 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_borough_scope	backend/app/services/agent/discovery_store.py	leave	leave: caller at 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_named_area_scope	backend/app/services/agent/discovery_store.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_named_near_scope	backend/app/services/agent/discovery_store.py	leave	leave: caller at 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_place_by_id	backend/app/services/agent/discovery_store.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_place_by_ordinal	backend/app/services/agent/discovery_store.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_presented_context_rows	backend/app/services/agent/discovery_store.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_record_context	backend/app/services/agent/discovery_store.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_trusted_https_url	backend/app/services/agent/events.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_eval_bounded_binop	backend/app/services/agent/loop.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_arithmetic_shortcut_events	backend/app/services/agent/loop.py	leave	leave: caller at 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_live_turn_events	backend/app/services/agent/loop.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_project_mapping	backend/app/services/agent/model/output_projection.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_projected_place_ids	backend/app/services/agent/model/output_projection.py	leave	leave: caller at 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_restore_row_place_id	backend/app/services/agent/model/output_projection.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_place_label	backend/app/services/agent/model/prompt.py	leave	leave: 2 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_saved_place_labels	backend/app/services/agent/model/prompt.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_trip_digest	backend/app/services/agent/model/prompt.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_accepted_endpoint_digest	backend/app/services/agent/model/prompt.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_accepted_route_comparison	backend/app/services/agent/model/prompt.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_route_card_digest	backend/app/services/agent/model/prompt.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_active_trip_digest	backend/app/services/agent/model/prompt.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_pending_trip_digest	backend/app/services/agent/model/prompt.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_json_context_lines	backend/app/services/agent/model/prompt.py	leave	leave: 2 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_strip_unsupported_sampling_and_thinking	backend/app/services/agent/model/request.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_reject_unsupported_prefill	backend/app/services/agent/model/request.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_next_item_timeout_s	backend/app/services/agent/model/stream.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_web_research_expired	backend/app/services/agent/model/stream.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_citation_source	backend/app/services/agent/model/stream.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_extend_cited_sources	backend/app/services/agent/model/stream.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_on_web_search_start	backend/app/services/agent/model/stream.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_on_web_search_result	backend/app/services/agent/model/stream.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_on_text_delta	backend/app/services/agent/model/stream.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_on_text_stop	backend/app/services/agent/model/stream.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_apply_follow_up	backend/app/services/agent/model/stream.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_required_attempt_completion	backend/app/services/agent/model/stream.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_timeout_attempt_result	backend/app/services/agent/model/stream.py	leave	leave: caller at 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_provider_error_result	backend/app/services/agent/model/stream.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_activity_copy_rejected	backend/app/services/agent/passenger_output.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_normalized_terminal_message	backend/app/services/agent/passenger_output.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_admitted_aliases	backend/app/services/agent/presented_entity_registry.py	leave	leave: 2 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_registry_identity_fields	backend/app/services/agent/presented_entity_registry.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_admit_registry_entry	backend/app/services/agent/presented_entity_registry.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_rewrite_canonical_place	backend/app/services/agent/presented_entity_registry.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_reused_aliases	backend/app/services/agent/presented_entity_registry.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_upsert_registry_item	backend/app/services/agent/presented_entity_registry.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_place_in_source	backend/app/services/agent/presented_entity_registry.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_scoped_entries	backend/app/services/agent/presented_entity_registry.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_latest_by_sequence	backend/app/services/agent/presented_entity_registry.py	leave	leave: 2 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_latest_ordinal_entry	backend/app/services/agent/presented_entity_registry.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_name_alias_matches	backend/app/services/agent/presented_entity_registry.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_unique_description_entry	backend/app/services/agent/presented_entity_registry.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_price_description_match	backend/app/services/agent/presented_entity_registry.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_borough_description_match	backend/app/services/agent/presented_entity_registry.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_text_description_match	backend/app/services/agent/presented_entity_registry.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_matching_saved_places	backend/app/services/agent/profile.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_unique_place	backend/app/services/agent/profile.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_admitted_coordinates	backend/app/services/agent/profile.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_assert_public_tool_budget	backend/app/services/agent/public_surface.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_live_what_if_selection	backend/app/services/agent/public_surface.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_presentable_what_if	backend/app/services/agent/public_surface.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_ready_presenter_name	backend/app/services/agent/public_surface.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_pending_place_presenter	backend/app/services/agent/public_surface.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_pending_route_presenter	backend/app/services/agent/public_surface.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_pending_tool_names	backend/app/services/agent/public_surface.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_trimmed_session_blob	backend/app/services/agent/session.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_route_endpoint_slots	backend/app/services/agent/session.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_route_constraint_slots	backend/app/services/agent/session.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_stripped	backend/app/services/agent/tool_input_policy.py	leave	leave: 8 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_tool_satisfies_declared_goal	backend/app/services/agent/tool_input_policy.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_presenter_reuse_allowed	backend/app/services/agent/tool_input_policy.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_has_destination_ids	backend/app/services/agent/tool_input_policy.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_current_turn_destination_error	backend/app/services/agent/tool_input_policy.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_constrained_route_modes	backend/app/services/agent/tool_input_policy.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_constrained_route_ids	backend/app/services/agent/tool_input_policy.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_record_route_card	backend/app/services/agent/transcript_store.py	leave	leave: caller at 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_record_arrival_card	backend/app/services/agent/transcript_store.py	leave	leave: caller at 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_record_sources	backend/app/services/agent/transcript_store.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_accepted_trip_identity	backend/app/services/agent/transcript_store.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_owned_route_card	backend/app/services/agent/transcript_store.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_priority_turn_indexes	backend/app/services/agent/transcript_store.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_bounded_earlier_turns	backend/app/services/agent/transcript_store.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_apply_scenario_endpoints	backend/app/services/agent/trip_state.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_apply_scenario_preferences	backend/app/services/agent/trip_state.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_normalized_planning_mode	backend/app/services/agent/trip_state.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_normalize	backend/app/services/agent/trip_state.py	leave	leave: 2 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_object_facts	backend/app/services/agent/turn/completion.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_facts	backend/app/services/agent/turn/completion.py	leave	leave: not single production file	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_remaining_action	backend/app/services/agent/turn/completion.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_admit_goal_sequence	backend/app/services/agent/turn/contract.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_validate_goal_graph	backend/app/services/agent/turn/contract.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_apply_goal_flag	backend/app/services/agent/turn/evidence.py	leave	leave: 2 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_normalized_recovery_options	backend/app/services/agent/turn/evidence.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_route_internal_discovery_ready	backend/app/services/agent/turn/evidence.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_capture_model_completion_sources	backend/app/services/agent/turn/stream.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_count_tool_end_failure	backend/app/services/agent/turn/stream.py	leave	leave: 2 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_continue_after_web_timeout	backend/app/services/agent/turn/stream.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_stop_on_max_tokens	backend/app/services/agent/turn/stream.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_resolve_unattached_action	backend/app/services/agent/turn/stream.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_continue_after_mixed_terminal	backend/app/services/agent/turn/stream.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_capture_tool_round_message	backend/app/services/agent/turn/stream.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_record_plan_trip_start	backend/app/services/agent/turn/stream.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_normalize_capability_event	backend/app/services/agent/turn/stream.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_resolve_capability_iteration	backend/app/services/agent/turn/stream.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_web_search_tool	backend/app/services/agent/loop.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_rewrite_source_place_id	backend/app/services/agent/presented_entity_registry.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_evidence_capability_error	backend/app/services/agent/tool_input_policy.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_apply_server_web_progress	backend/app/services/agent/turn/stream.py	leave	leave: caller already above 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_discover_places_where	backend/app/services/agent/tools/__init__.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_discover_places_label	backend/app/services/agent/tools/__init__.py	leave	leave: 0 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_arrivals_status_label	backend/app/services/agent/tools/__init__.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_label_route_ids	backend/app/services/agent/tools/__init__.py	leave	leave: 2 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_check_transit_label	backend/app/services/agent/tools/__init__.py	leave	leave: 0 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_answer_goal_facts	backend/app/services/agent/tools/complete_turn.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_interrupt_goal_facts	backend/app/services/agent/tools/complete_turn.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_interrupt_goal_error	backend/app/services/agent/tools/complete_turn.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_unavailable_goal_facts	backend/app/services/agent/tools/complete_turn.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_bound_turn_contract	backend/app/services/agent/tools/complete_turn.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_terminate_turn	backend/app/services/agent/tools/complete_turn.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_stops_on_named_route	backend/app/services/agent/tools/location_resolution.py	leave	leave: inlining would likely exceed 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_gtfs_stop_place	backend/app/services/agent/tools/location_resolution.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_station_or_geocoded_place	backend/app/services/agent/tools/location_resolution.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_known_alias_place	backend/app/services/agent/tools/location_resolution.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_saved_profile_coords	backend/app/services/agent/tools/location_resolution.py	leave	leave: caller at 10	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_saved_profile_place	backend/app/services/agent/tools/location_resolution.py	leave	leave: 2 same-file callers	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
w1-u4-leave-_accumulate_history_row	backend/app/services/agent/tools/places/damn_lines.py	leave	leave: metric locked; one-caller but inlining deferred after screening (caller near cap or locked file)	inline-candidates.tsv complexipy+ast caller scan	0	pass	done
